node_type_id model_type model_template model_processing dynamics_params morphology_file rotation_angle_zaxis pop_name location ei
485184849 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 485184849_fit.json 485184849_reconstruction.swc 0 Human VisL4 e
478107198 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478107198_fit.json Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc 0 Htr3a VisL4 e
478058328 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478058328_fit.json Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc 0 Pvalb VisL4 i
476686112 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 476686112_fit.json Sst-IRES-Cre_Ai14-188740.03.02.01_491119369_m.swc 0 Sst VisL4 e
476104386 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 476104386_fit.json Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc 0 Sst VisL4 e
482516713 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 482516713_fit.json Pvalb-IRES-Cre_Ai14-199001.04.02.01_491119245_m.swc 0 Pvalb VisL4 i
485466109 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 485466109_fit.json Sst-IRES-Cre_Ai14-202729.03.02.01_496079506_m.swc 0 Sst VisL4 e
487667205 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 487667205_fit.json Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc 0 Pvalb VisL4 i
488501071 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 488501071_fit.json Pvalb-IRES-Cre_Ai14-212440.05.02.01_500961631_m.swc 0 Pvalb VisL4 i
478396248 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478396248_fit.json Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc 0 Sst VisL4 e
478793814 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478793814_fit.json Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc 0 Pvalb VisL4 i
478888083 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 478888083_fit.json Scnn1a-Tg2-Cre_Ai14-193643.04.01.01_491770923_m.swc 0 Scnn1a VisL4 e
479220013 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 479220013_fit.json Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc 0 Htr3a VisL4 e
481001895 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 481001895_fit.json Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc 0 Htr3a VisL4 e
482690728 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 482690728_fit.json Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc 0 Sst VisL4 e
484571248 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 484571248_fit.json Rorb-IRES2-Cre-D_Ai14-201965.04.01.01_496085113_m.swc 0 Rorb VisL4 e
484635029 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 484635029_fit.json Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc 0 Pvalb VisL4 i
484742372 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 484742372_fit.json Pvalb-IRES-Cre_Ai14-201773.04.01.01_496079434_m.swc 0 Pvalb VisL4 i
485058595 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 485058595_fit.json Sst-IRES-Cre_Ai14-202726.05.02.01_496123885_m.swc 0 Sst VisL4 e
396608557 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 396608557_fit.json 396608557_reconstruction.swc 0 Human VisL4 e
475888653 biophysical ctdb:Biophys1.hoc aibs_perisomatic_directed 475888653_fit.json 475888653_reconstruction.swc 0 Human VisL4 e
