gid spike-times
10 71.3452204722,201.184477424,305.219125096,318.522872375,387.474220502,417.105474996,566.744201959,581.313936971,669.762400604,730.273199881,772.753850347,800.727880581,822.351057638,937.749987378,950.819180529,1064.62176718,1115.29977337,1220.05671001,1312.33019127,1371.6358476,1507.59881519,1649.97724855,1756.32332084,1864.37970326,1926.69841002,2003.48542114,2099.63013152,2122.96934272,2195.77889381,2258.30756645,2314.07637769,2377.09394218,2422.57127214,2479.50553328,2545.43707961,2584.55081523,2585.78496145,2691.14134016,2722.79035934,2787.25012671,2850.08112676,2975.22294156,2992.04025885
11 58.3069736434,231.898608719,336.994996856,399.587410421,533.175654993,729.338174228,748.850590235,809.003161982,888.190401717,1066.78031524,1098.20433463,1111.75693923,1189.02486406,1287.92059294,1326.54335027,1383.17259575,1444.10060723,1458.46882443,1564.69038237,1755.6839538,1776.77745001,1981.0926961,2109.30586069,2248.4319605,2327.55192494,2383.8021541,2403.59776826,2465.50523574,2537.54432105,2646.24889304,2682.21638722,2804.9172895,2926.90766606
12 69.149662558,178.154033576,302.873125037,425.060498907,518.293554745,644.47167074,735.656050729,739.881193278,867.529043133,940.116590192,1009.61039137,1066.63875069,1244.49497153,1292.73667557,1356.72120327,1410.89922299,1447.65582573,1574.47262814,1644.24996862,1672.86762759,1697.90634187,1792.7049025,1859.63151172,1920.42847883,1975.04754649,2001.25005683,2110.87335861,2147.26543932,2233.07989009,2277.98546121,2293.62387576,2398.61340054,2439.14900848,2483.35939135,2642.75526596,2716.22251338,2739.56395232,2852.31914793,2944.40732177
13 63.174448041,169.678054556,284.686814182,335.034481143,345.343596638,386.485825417,465.842763423,474.995150875,483.823075968,607.830876421,648.293663077,719.969236175,752.039648751,802.216368679,904.494721677,1005.22841077,1082.98993176,1106.46751331,1203.12346301,1296.93404263,1339.56689216,1468.53384538,1489.08120648,1548.72114099,1557.11551095,1582.60225409,1635.99790015,1636.07934736,1653.27145214,1720.92704215,1801.80964383,1876.99558564,1902.87257832,1968.7366058,2018.12108219,2097.23322938,2162.54037939,2215.80389559,2242.18367029,2437.85078752,2524.24550026,2525.28738027,2571.41032603,2636.06790252,2636.12518758,2657.76497173,2681.99154541,2753.04343983,2809.38412848,2889.58648121,2984.3595207
14 44.4417555366,109.877930003,155.065458345,247.480833601,283.255144684,399.959458081,423.385621677,478.067605055,591.943021518,706.572405181,728.41166833,803.643462198,879.707938337,943.742519399,1026.52297207,1033.72081418,1154.59195021,1249.16566064,1305.51777338,1362.89653298,1421.1367822,1518.34491865,1609.38554279,1651.43600603,1718.89901531,1832.0594797,1879.60747174,1886.77431273,1916.18888146,2007.36735261,2076.47150059,2203.15860221,2295.8505636,2365.09079305,2503.85214644,2569.22922884,2665.83552544,2705.14089363,2737.07096991,2791.44504109,2891.55560174,2912.3133851,2978.4886553
15 140.837220568,206.953741173,350.608603016,383.114091066,482.014906164,545.013631454,625.17483917,685.975117216,707.31300738,823.131442034,987.672959362,1036.49132604,1123.80289305,1180.16600486,1217.67722541,1234.19197849,1268.32686816,1379.53630735,1399.8567493,1478.96304873,1567.26036093,1663.00295666,1780.43976608,1882.13534501,1953.45994612,2001.9082227,2149.39425089,2245.52311702,2330.90955881,2398.06143211,2500.12359122,2590.29981951,2669.93391253,2736.62444488,2805.89870293,2924.36650468
16 52.6067681024,107.399386788,236.532051672,343.642297288,458.479017577,568.028052334,675.411027031,739.586771761,790.28684491,943.895765709,1001.70704866,1156.9403871,1163.76209246,1164.22707369,1268.01912518,1304.17687675,1378.63174936,1415.49989932,1435.17167054,1487.41623888,1570.04644183,1721.73630009,1830.30496834,1979.3670819,2053.58140357,2217.12943327,2415.39595862,2500.34248158,2557.10067545,2631.78135148,2744.27474413,2861.8825322,2936.56507041
17 123.555468335,215.989260074,236.421669534,318.342666586,390.344943493,507.796436402,581.5261499,665.450021158,764.297970705,846.730859123,935.57582108,1042.35055514,1190.68579341,1239.10970973,1306.55802653,1331.36336799,1398.02235897,1449.33671125,1532.33861983,1580.17688683,1691.59581821,1724.01604631,1757.28392198,1847.76165812,1945.30549072,2065.79864893,2154.14272402,2159.4649541,2161.72599569,2172.11909253,2288.51108334,2415.19849345,2500.10593475,2516.6183492,2582.74327603,2660.56241851,2672.36685584,2721.74477367,2865.52275324,2940.94150121
18 51.1557875535,171.623096111,233.044100182,235.533576474,340.585250362,478.569835873,487.550365239,601.343896599,624.788081468,748.615869926,912.217709853,980.926912526,1073.93816209,1074.14467247,1150.46632458,1224.32557522,1283.54140642,1412.28298277,1519.44574215,1551.82639973,1568.08895965,1654.12682403,1799.07710703,1879.42105751,1986.04935567,2071.28849046,2179.13204832,2204.02174768,2219.87008196,2266.22284745,2411.12159993,2552.84608842,2600.95157917,2631.65527373,2663.54713223,2677.47986469,2808.89792216,2906.2102184,2945.6253547,2950.70673825
19 174.092561544,262.817888611,411.062699675,476.407363421,493.189997347,507.463747009,563.977262475,605.302712531,730.332320941,781.088792489,832.093821279,881.051849562,938.150235763,1085.44726268,1168.04029446,1208.8648501,1241.46046465,1329.41306535,1393.5080572,1437.20843219,1458.17456664,1527.15659495,1551.51247347,1606.09810762,1649.1980658,1735.37140161,1813.12086989,1961.94703323,2004.10978377,2157.4480108,2164.91884752,2211.87009774,2230.19237972,2269.80484122,2376.77006533,2389.55351097,2485.88116523,2555.5271677,2715.11571533,2831.01183462,2958.12436462,2970.44733099
20 55.8722182827,258.147294937,384.696200953,461.01681183,489.447083472,542.741638655,617.610013636,785.302515833,920.598843646,984.307505557,1056.78212295,1126.87461603,1127.50192211,1152.6047539,1238.72534389,1339.15846164,1377.91147797,1423.63915524,1444.03521243,1454.12833685,1533.94727975,1638.48687823,1797.47498055,1891.24124465,2048.84164586,2116.14461826,2245.25758801,2310.91339561,2414.01392463,2558.0216709,2673.251393,2696.24205717,2760.61067436,2777.29482528,2867.22246448,2950.51124045
21 32.9856495062,136.650171329,220.363722073,300.379829376,344.13206563,465.387925821,533.156978402,664.876474953,744.079906742,771.838719599,788.944720133,813.551865285,850.737162582,875.47627633,984.770023687,991.059953502,1045.6285747,1053.13030124,1148.49137449,1284.75269984,1406.52908932,1476.79361238,1525.63319557,1537.77828026,1561.73300606,1652.25518627,1709.9783472,1786.06273959,1856.22212332,2003.19716431,2076.76375715,2088.26687154,2123.83395728,2159.41922047,2292.65402278,2294.29479763,2381.1439062,2384.4598486,2495.74465923,2561.23861363,2601.87683547,2656.55607013,2681.08574409,2700.40430192,2726.49994591,2747.78263455,2829.62708604,2848.33377551,2877.15490148
22 79.1791322265,151.99262624,224.507175393,284.989313528,343.154390108,408.767937041,600.071141764,639.010909552,669.941978765,756.697109792,824.748227733,911.210961173,1023.30685809,1107.76410811,1236.81753958,1321.91355076,1406.07384028,1586.91677548,1719.18462345,1805.98753849,1865.71322797,1882.8835901,1965.15174383,2074.44641236,2103.10680034,2206.66361503,2315.77016564,2337.06438972,2475.06384582,2567.33449342,2678.65019241,2762.15096811,2885.01508435,2906.16812158,2990.92882638
23 29.8516484899,74.1523972979,171.128041416,269.398250374,318.890340109,381.486140659,452.191591912,598.628730708,650.282552232,658.199254353,701.075909374,812.774698649,859.626229349,961.374417706,1034.33786606,1038.90874848,1184.93678542,1273.18477496,1320.09994451,1422.3899702,1443.27254381,1473.56275572,1589.9030424,1655.92909577,1687.51480395,1809.10298704,1851.19959903,1946.32559581,2013.27230463,2130.94466174,2152.0812738,2215.34725377,2215.64199489,2281.95794894,2315.56577499,2404.12418107,2414.19919782,2551.45800063,2640.22219779,2694.692587,2815.30912166,2896.48599711,2979.00848874
24 119.221324834,146.107005312,190.9251428,292.77388625,389.853292831,485.196336259,492.323748833,540.555486615,546.562036598,691.190762019,771.772565664,842.403283916,855.240069511,859.069041246,888.721481729,953.127017875,1018.59234363,1044.04889831,1071.16909356,1133.26501482,1133.82219889,1200.54396243,1208.18202761,1213.79219668,1312.50993131,1365.15911567,1511.70817137,1612.64386883,1648.46799471,1755.76709206,1844.09022371,1952.39086058,1960.88379056,2004.01775427,2055.74657783,2217.5137365,2290.85937113,2325.60644882,2377.23876124,2391.69935408,2476.9980955,2535.72672403,2609.73230329,2766.28802869,2927.68577713,2974.09634054
25 70.5004771979,163.680104131,172.693049619,240.437468201,299.97109676,364.53336092,485.989397981,598.128034396,657.265236162,695.560741961,745.280005093,783.052882565,829.551204206,853.207513844,961.35972207,1018.45423077,1054.73175032,1117.40530972,1157.36301875,1197.25799629,1300.26738174,1377.97648803,1504.65518807,1703.09338061,1805.50545285,1875.99941395,1930.92200078,1977.12816691,2054.00351037,2179.83154684,2239.32365782,2269.07036068,2374.58438786,2493.78444116,2536.02116979,2584.45725766,2597.31611198,2697.67102881,2784.71253842,2881.65782719,2907.89526987,2939.31553831,2948.87176635,2986.90568049
26 81.9001129899,112.312111075,122.958498936,131.613628882,279.249851899,287.663133004,291.808865219,310.003295575,334.025611189,339.983514097,366.627550637,533.742901557,618.251057561,707.046537382,729.924298356,827.441161495,952.428918168,1064.45849728,1160.82031991,1223.18375678,1251.00867916,1292.24701612,1319.28203178,1319.94076725,1351.49184831,1381.544885,1454.70498375,1627.29596605,1679.66763587,1732.66217994,1786.37080485,1820.88062069,1864.92016121,1905.29090653,1958.6540474,2065.96451877,2101.18891067,2247.71249385,2255.86400693,2272.88229295,2390.93712134,2439.57774473,2445.36985274,2505.87838994,2556.93235211,2614.90574605,2717.80484437,2810.71753856,2932.57988549,2987.90512101
27 99.0398253124,106.846475162,184.084676842,202.810402933,282.496579704,448.100929233,534.874069229,538.493365182,685.810415568,811.957568658,989.012631428,1069.61856607,1143.60767672,1281.03359705,1316.12249335,1339.81546589,1438.54804624,1563.62482602,1685.67798093,1720.40265087,1748.89852843,1776.07211598,1893.79427279,1911.91605334,1935.98410781,2017.9098153,2026.38986038,2085.34259275,2112.3590603,2135.6337109,2250.00268857,2272.01075872,2360.7216816,2494.42253392,2575.18649513,2631.51674119,2717.19284429,2881.20767833,2977.30167202,2989.87795505
28 98.6051158346,173.314808687,276.263029939,335.535923121,412.85149723,560.289968513,649.52490889,718.452418451,843.316302214,895.156962793,1004.04848416,1046.59940366,1070.08069546,1123.98682864,1219.21006515,1228.95504476,1320.22853158,1369.88394048,1428.53444933,1531.45042845,1596.04483594,1732.8121629,1794.17809638,1816.32959381,1836.21805194,1851.04281278,1932.75810316,2002.38630128,2062.53492441,2116.33335276,2189.93336317,2230.9080276,2315.92066149,2348.65864042,2451.92923707,2518.28404111,2548.27398079,2727.36264439,2846.11091966,2927.53572067
29 116.041201372,288.526116565,327.316765337,421.179465868,499.813262916,608.145161951,686.496857515,806.143654661,821.013127974,848.361308199,932.666890897,977.772083965,1053.55237527,1102.84203047,1170.57060268,1286.25962411,1427.37263731,1485.40647882,1594.84355588,1771.91638181,1917.29333785,2010.40662535,2129.83888242,2133.59788555,2228.6940987,2283.88245828,2347.41450757,2434.02872662,2540.29389802,2565.51052789,2646.32595411,2816.99390098,2852.79399518,2928.60784688,2940.66149807,2979.54281354
30 67.7722401433,237.384616016,333.517234072,371.58110066,441.647126319,450.546724111,509.891833459,608.42517438,738.742605675,790.48733447,897.65188732,948.624899886,1023.66174256,1035.56734521,1128.57045508,1141.69606188,1268.96602893,1300.99554804,1400.68726473,1474.6395443,1509.9575789,1643.48327439,1763.26090018,1876.56068215,2022.73680977,2063.46877441,2135.79390031,2153.19225784,2221.98167977,2274.48293843,2286.90411158,2403.50718372,2426.71494928,2441.96152138,2508.693964,2666.61089309,2727.93322328,2841.84249385,2911.99715567,2942.21776582
31 73.0848852342,113.704788406,115.873647886,259.212907482,377.268017916,416.941091668,554.269816455,664.991694023,729.210653668,769.565119622,834.257797618,897.158682107,1074.15021386,1113.13050211,1137.78962883,1205.61429311,1239.52653538,1297.60709327,1385.9504218,1441.82777753,1573.43471406,1631.87123155,1702.05933157,1840.81969541,1913.62627822,1943.34774068,2035.31496176,2104.06616271,2164.0248228,2301.48246798,2331.8978233,2466.39979081,2540.62037388,2572.8795507,2579.9966914,2647.19618634,2748.73679276,2754.24107988,2764.1663292,2838.00804422,2900.19913092,2905.54974591,2975.12901921,2984.35196254
32 88.1152676488,105.367036537,225.491826952,322.539750049,362.532649858,529.578483283,547.742542675,614.915709614,616.607270786,625.609434865,635.555161815,698.426917964,780.47889245,796.846697477,925.791605691,983.421820264,1019.86565739,1132.09795188,1241.35171583,1243.0852695,1297.42211724,1411.51835845,1445.59980425,1500.73826942,1572.71576254,1650.19745255,1768.04074677,1882.51591615,1924.33808628,2151.0553833,2241.90602716,2353.25701518,2388.72540008,2532.42788238,2604.68940877,2717.13093139,2740.74638335,2870.79642452,2872.1878902,2919.25444963
33 43.9707430114,64.2137946967,162.91054206,198.304541136,290.312142456,359.715071525,395.464098279,471.469063961,489.157463173,558.060716553,565.687036829,637.777569751,673.732352826,747.170501168,816.463630114,872.751713192,915.552884292,916.581487953,952.314135251,969.847675455,1067.10485837,1088.50198815,1255.87968061,1321.79531969,1335.9825865,1392.02477363,1437.00940888,1481.7798402,1575.55718975,1608.53355337,1690.33322356,1721.14632827,1798.45547639,1850.53965792,1902.91661628,2010.00955264,2026.72692646,2177.95345099,2315.69816743,2424.58919024,2442.30369456,2567.71129784,2675.08331027,2748.91116622,2802.32045025,2826.94705028,2947.43356846
34 16.1678414701,58.95407622,139.155341545,209.720861916,316.385570507,359.276872447,462.10124036,540.45208225,690.275254149,713.01530554,718.583522297,776.235323722,809.73779925,956.961372496,976.32982171,1158.74710148,1336.07730263,1432.40425913,1473.01516535,1537.91034056,1716.1468513,1775.11642349,1795.19718685,1845.53548054,1878.19007806,2043.27697072,2086.75318564,2100.47355123,2165.56338505,2214.96512848,2399.88551281,2555.09584929,2631.20619932,2729.2979707,2803.84228284,2938.14977482
35 30.359515527,99.841696419,203.542239399,224.290847408,292.106701366,316.131323196,404.554547713,602.070032207,662.093167556,677.666624018,762.342043455,772.905305299,858.402264185,961.207468549,1004.90253156,1019.45392701,1068.58189693,1080.28801625,1108.36191778,1126.63743194,1181.61986502,1225.97061776,1363.62864474,1436.09350539,1444.07619728,1534.59850988,1621.82814299,1688.64917665,1710.07521178,1823.16518177,1877.60178852,1932.93016022,2051.04724492,2148.42639865,2276.02246674,2413.34649098,2571.79985042,2630.82764625,2664.97444319,2789.28667465,2908.64604961,2984.23414969
36 23.6203600503,103.135633361,247.233512958,327.511935933,401.259993212,535.522057,589.752456551,735.283017848,837.783181333,901.011417619,978.06779891,1151.35337263,1209.29481063,1349.32363337,1388.8106394,1497.55067472,1608.76980804,1702.32154929,1775.95953555,1914.31463707,1983.04332203,2140.57486858,2170.68610756,2270.07127799,2287.3072214,2376.50085825,2480.72102275,2550.71662636,2635.43547022,2644.78022379,2779.77250055,2788.58345623,2919.81552624
37 58.6557236036,105.429694843,244.134781113,307.466607165,322.524644696,406.745979277,415.226162568,544.927770211,563.264692742,580.104083282,660.287968348,743.758116776,829.878202046,874.145282672,1015.0855123,1100.80337672,1212.86670112,1291.00606473,1329.67473095,1407.8061089,1548.57623021,1578.11115628,1634.97884304,1706.08988234,1747.96327328,1813.56989476,1885.84809919,2061.51692343,2119.41684569,2153.77781753,2159.69377588,2194.01372088,2248.89913145,2334.1307642,2432.53542053,2478.76034909,2545.99916095,2608.97194658,2648.67840053,2693.64185174,2750.40223888,2826.18522635,2887.19125646
38 82.3964132938,224.551596888,236.311320583,344.653046847,373.924839571,453.221449194,534.717120328,569.459439864,715.312349055,754.033637987,767.12799291,835.548902687,847.72767982,932.658344161,1032.31579687,1100.29295756,1134.01663756,1278.44981137,1340.1124544,1402.36273773,1500.50905404,1649.19938019,1791.11532539,1858.04494683,1874.75255987,1960.93076003,2078.22930719,2154.79186592,2247.77328556,2361.30557118,2420.70193459,2446.72250953,2501.87374271,2563.6309567,2682.67899622,2795.10005218,2896.09043572,2955.46080283,2964.19338716
39 135.313266975,148.128192038,229.074755217,333.823256059,425.930202752,450.656963534,532.309002877,603.676187457,626.204322807,709.44472059,911.191877533,1000.54464208,1029.68082798,1059.26997317,1100.94127146,1129.90390286,1211.56711313,1237.81828999,1315.04414311,1317.2098175,1354.87322937,1459.47914666,1547.96074988,1566.01160147,1591.43363106,1630.43514145,1658.04104759,1772.13481762,1884.36146827,1965.79488687,2092.52643971,2248.94217672,2324.10274434,2595.23621694,2648.59270118,2789.91426943,2858.67536225,2963.47089936
40 61.0224401014,146.456061212,156.949179436,225.140976376,296.109845487,348.015645765,475.375393574,579.724592868,625.489299928,813.761726848,915.589272572,955.923676571,990.715864268,1103.13322176,1113.82649368,1194.64845761,1205.59950791,1340.3772606,1417.46568707,1503.16102366,1568.91810191,1599.26637413,1639.52112542,1671.67450877,1722.24058344,1850.49579779,1938.64837777,2070.71145774,2153.94508953,2154.80223307,2233.51811853,2246.56180809,2247.75378046,2338.09655392,2450.69269891,2467.30437686,2538.1503032,2555.4006641,2560.84927836,2658.61494828,2687.77986166,2694.9907299,2715.04157012,2728.84545214,2829.00594753,2876.62011017,2946.20228421
41 147.684264517,158.126619046,198.283585045,289.071974553,327.989171547,391.273170656,464.969739127,496.223582616,616.522796125,759.041083782,817.161512743,864.377604575,927.702225413,975.266888093,1081.0063879,1182.57672089,1328.37969484,1411.35150228,1416.08000165,1512.0909569,1595.43802522,1704.15598803,1764.02535449,1833.49528179,1867.68089315,1891.18323943,1963.46890195,1992.833279,2076.62698095,2158.13749949,2222.88353258,2307.42334329,2371.96990211,2476.23407534,2507.09635258,2560.65073732,2586.79911238,2734.83416259,2738.30714253,2807.5926449,2909.85278687,2958.21142797
42 58.7622801487,111.279702604,147.365073961,184.288568134,245.499234449,360.059112483,450.41097148,453.304954735,519.873157541,538.79892998,562.808727059,623.358506038,650.902718597,708.714902761,730.168077228,793.634945082,885.641459788,914.780750149,996.672339515,1027.08352071,1087.34018731,1104.68219274,1234.3832745,1323.68234264,1406.0541622,1512.35234072,1590.69878528,1706.74367894,1817.38417324,1917.94103235,1919.24423015,2014.90105934,2027.17868566,2104.4917423,2207.7415946,2242.69266724,2271.38368169,2333.35778077,2359.56019259,2436.60509576,2499.43753481,2520.14148012,2634.4099962,2763.39226793,2842.2801784
43 60.2737641232,127.92531707,181.974341577,320.365258687,410.667856824,425.868495478,476.702581198,550.107630731,667.934690991,793.060909119,892.358193126,930.79356931,969.57637225,1126.03523828,1132.48058781,1234.24728923,1355.25431029,1420.90444578,1444.02013753,1456.82502314,1461.79680394,1518.43252292,1558.12825939,1602.08689498,1667.81535687,1766.10602677,1870.82074221,1882.84157497,1979.11212606,2105.10880524,2169.21530806,2292.14896058,2316.68355154,2484.45857556,2563.02680807,2649.8257696,2733.12033387,2855.39125577,2958.33913751
44 103.349475957,165.081646907,263.145389047,301.545363897,304.676495583,405.352219555,444.371768711,449.885895418,526.663742694,622.87098036,720.970556404,753.985480451,836.045835358,858.180150235,926.124343409,989.005464935,1108.36869505,1286.11900826,1319.76852774,1405.03790246,1410.01273373,1488.6129555,1582.94634375,1623.19967788,1662.27538731,1788.21944098,1872.560753,2017.09891244,2055.65288983,2061.64513111,2115.7602776,2131.0871137,2178.58536631,2181.36215431,2263.0840695,2345.63899468,2430.44301195,2534.31709717,2605.01378226,2647.21548394,2733.98872917,2760.00839773,2778.80126991,2838.21974005,2840.37981551,2961.77874245,2963.51436045
45 42.7935127731,144.495829086,230.991806582,231.234176036,240.325223542,260.365714847,334.630290939,459.782393271,489.44195684,552.328475263,603.776098288,644.551932036,729.350991017,841.963108346,864.603165234,918.441941163,999.682803726,1128.48374608,1136.06884336,1219.41031431,1279.75002631,1281.64780712,1364.64817416,1415.22803899,1463.65600129,1575.09808079,1620.16400947,1731.09938997,1764.60156866,1826.88385182,1867.40763992,1911.46013213,1950.3192658,2003.88158368,2086.78093024,2170.28069082,2191.14854678,2310.10955617,2467.7558662,2577.30953958,2582.90322928,2672.02162215,2734.61623802,2799.56309008,2804.55549314,2846.611553,2909.92340364
46 90.0473532198,144.096423227,176.690365129,350.141877071,398.713861969,482.295258406,566.129909001,653.850161056,692.067774321,751.728024358,844.03636842,906.58593294,957.564060651,973.687018478,1099.93873462,1238.93599982,1401.41787038,1445.1575429,1487.85677806,1521.8208737,1557.20406549,1616.46658625,1619.87796188,1632.17528279,1681.89147987,1828.44923289,1899.00344726,1922.0027295,1961.31903111,1997.49030062,2082.06734518,2163.49263327,2164.22637307,2310.20740052,2381.37169712,2468.20822995,2603.60959788,2621.83690647,2709.93022283,2777.56881882,2850.44081064,2882.16047147,2886.01060967,2890.48443682,2896.46991806
47 19.730106492,107.295260375,237.478724686,307.392366705,348.962537355,484.96458749,618.107343797,707.845148112,805.167560712,922.040456082,1016.56411491,1159.87847945,1247.93797261,1288.3990163,1310.42508824,1367.13021703,1489.18037537,1600.98856019,1686.98296874,1733.43260533,1741.42098966,1772.79682414,1850.01842028,1924.52739493,2016.30512243,2094.39306619,2109.98419034,2144.122784,2303.11145083,2387.9061067,2391.02663262,2425.59802588,2577.54433997,2638.19533875,2732.39725226,2812.88849411,2902.3720074
48 58.2352222928,214.260141117,278.574379699,316.47300224,413.189019055,449.271395267,550.136112276,651.631803036,704.732660698,767.0460345,825.004502475,834.114418473,850.500622269,957.109690059,1036.67997899,1058.94854536,1148.42633209,1184.17114466,1244.44899743,1267.38172378,1282.12756899,1328.96516656,1503.09826315,1513.39878922,1588.65588928,1745.14390547,1795.99359013,1887.96581862,1942.69532526,1952.63654832,2091.49224998,2232.69975855,2281.67038403,2345.02501794,2360.64579287,2385.73178002,2414.69405575,2507.35490417,2581.64420011,2669.07825907,2671.79348425,2748.31702798,2802.54154539,2826.24227192,2956.20503384
49 108.486529196,129.60601783,252.480623495,308.872556702,363.080687418,401.615991839,408.489113726,489.50385831,553.769320586,592.297220062,675.258293601,691.393018908,726.694403418,732.197147091,750.341490328,866.062461424,1002.83951948,1056.88542962,1167.26669803,1219.8296377,1305.05385122,1400.8371917,1501.30871057,1606.40426653,1692.711312,1696.01749142,1758.79342653,1879.82895673,1930.42778787,2037.3009578,2112.99299631,2128.28603969,2227.77243471,2282.62326228,2301.05866271,2362.41090114,2383.33031105,2440.2570311,2599.17914128,2631.49769613,2639.49623919,2765.23286001,2793.9057686,2913.43902512,2962.15341892
