id,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym
849706058,792645504,251,27,2520,7366,1418,8197,417,VISrl
849706060,792645504,252,43,2540,7363,1413,8204,417,VISrl
849706062,792645504,253,11,2540,7360,1408,8212,417,VISrl
849706064,792645504,254,59,2560,7357,1402,8220,417,VISrl
849706066,792645504,255,27,2560,7354,1397,8228,417,VISrl
849706068,792645504,256,43,2580,7351,1392,8236,417,VISrl
849706070,792645504,257,11,2580,7348,1386,8244,417,VISrl
849706072,792645504,258,59,2600,7345,1381,8253,417,VISrl
849706074,792645504,259,27,2600,7342,1376,8261,417,VISrl
849706076,792645504,260,43,2620,7339,1371,8269,417,VISrl
849706078,792645504,261,11,2620,7336,1365,8278,417,VISrl
849706080,792645504,262,59,2640,7333,1360,8286,417,VISrl
849706082,792645504,263,27,2640,7330,1355,8295,417,VISrl
849706086,792645504,265,11,2660,7322,1339,8321,417,VISrl
849706088,792645504,266,59,2680,7319,1334,8330,417,VISrl
849706090,792645504,267,27,2680,7316,1329,8339,417,VISrl
849706092,792645504,268,43,2700,7313,1324,8348,417,VISrl
849706094,792645504,269,11,2700,7310,1319,8357,417,VISrl
849706096,792645504,270,59,2720,7307,1314,8366,417,VISrl
849706098,792645504,271,27,2720,7305,1309,8375,417,VISrl
849706100,792645504,272,43,2740,7302,1304,8384,417,VISrl
849706102,792645504,273,11,2740,7299,1299,8394,417,VISrl
849706106,792645504,275,27,2760,7293,1289,8412,417,VISrl
849706108,792645504,276,43,2780,7291,1284,8422,417,VISrl
849706110,792645504,277,11,2780,7288,1279,8431,417,VISrl
849706112,792645504,278,59,2800,7285,1274,8440,417,VISrl
849706114,792645504,279,27,2800,7282,1269,8450,417,VISrl
849706116,792645504,280,43,2820,7280,1264,8459,417,VISrl
849706120,792645504,282,59,2840,7271,1250,8488,417,VISrl
849706122,792645504,283,27,2840,7269,1245,8497,417,VISrl
849706124,792645504,284,43,2860,7266,1240,8507,417,VISrl
849706126,792645504,285,11,2860,7263,1235,8517,417,VISrl
849706128,792645504,286,59,2880,7261,1230,8526,417,VISrl
849706130,792645504,287,27,2880,7258,1226,8536,417,VISrl
849706132,792645504,288,43,2900,7256,1221,8546,417,VISrl
849706134,792645504,289,11,2900,7253,1216,8555,417,VISrl
849706136,792645504,290,59,2920,7250,1211,8565,417,VISrl
849706138,792645504,291,27,2920,7248,1207,8575,417,VISrl
849706140,792645504,292,43,2940,7245,1202,8585,417,VISrl
849706142,792645504,293,11,2940,7242,1197,8594,417,VISrl
849706144,792645504,294,59,2960,7240,1193,8604,417,VISrl
849706146,792645504,295,27,2960,7237,1188,8614,417,VISrl
849706148,792645504,296,43,2980,7235,1183,8624,417,VISrl
849706150,792645504,297,11,2980,7230,1174,8643,417,VISrl
849706152,792645504,298,59,3000,7227,1169,8653,417,VISrl
849706154,792645504,299,27,3000,7225,1165,8663,417,VISrl
849706156,792645504,300,43,3020,7222,1160,8672,417,VISrl
849706158,792645504,301,11,3020,7220,1155,8682,417,VISrl
849706160,792645504,302,59,3040,7217,1151,8692,417,VISrl
849706164,792645504,304,43,3060,7212,1141,8711,417,VISrl
849706168,792645504,306,59,3080,7207,1132,8730,417,VISrl
849706170,792645504,307,27,3080,7205,1128,8740,417,VISrl
849706172,792645504,308,43,3100,7202,1123,8750,417,VISrl
849706174,792645504,309,11,3100,7200,1118,8759,417,VISrl
849706176,792645504,310,59,3120,7197,1113,8769,417,VISrl
849706178,792645504,311,27,3120,7195,1109,8778,417,VISrl
849706180,792645504,312,43,3140,7192,1104,8788,417,VISrl
849706182,792645504,313,11,3140,7188,1095,8806,417,VISrl
849706184,792645504,314,59,3160,7185,1090,8815,417,VISrl
849706186,792645504,315,27,3160,7183,1085,8825,417,VISrl
849706188,792645504,316,43,3180,7180,1080,8834,417,VISrl
849706190,792645504,317,11,3180,7178,1075,8843,417,VISrl
849706192,792645504,318,59,3200,7175,1070,8852,417,VISrl
849706194,792645504,319,27,3200,7173,1065,8861,417,VISrl
849706196,792645504,320,43,3220,7171,1060,8870,417,VISrl
849706198,792645504,321,11,3220,7168,1055,8878,417,VISrl
849706200,792645504,322,59,3240,7166,1050,8887,417,VISrl
849706202,792645504,323,27,3240,7164,1045,8895,417,VISrl
849706204,792645504,324,43,3260,7161,1039,8904,417,VISrl
849706206,792645504,325,11,3260,7159,1034,8912,417,VISrl
849706208,792645504,326,59,3280,7156,1029,8921,417,VISrl
849706210,792645504,327,27,3280,7154,1023,8929,417,VISrl
849706212,792645504,328,43,3300,7152,1017,8937,417,VISrl
849706214,792645504,329,11,3300,7147,1006,8952,417,VISrl
849706216,792645504,330,59,3320,7145,1000,8960,417,VISrl
849706218,792645504,331,27,3320,7142,995,8968,417,VISrl
849706220,792645504,332,43,3340,7140,989,8975,417,VISrl
849706222,792645504,333,11,3340,7137,983,8983,417,VISrl
849706224,792645504,334,59,3360,7135,977,8990,417,VISrl
849706226,792645504,335,27,3360,7133,970,8997,417,VISrl
849706228,792645504,336,43,3380,7130,964,9004,417,VISrl
849706230,792645504,337,11,3380,7128,958,9011,,
849706232,792645504,338,59,3400,7126,951,9018,,
849706234,792645504,339,27,3400,7123,945,9024,,
849706238,792645504,341,11,3420,7118,932,9038,,
849706240,792645504,342,59,3440,7116,925,9044,,
849706242,792645504,343,27,3440,7114,919,9050,,
849706244,792645504,344,43,3460,7111,912,9056,,
849706246,792645504,345,11,3460,7109,905,9063,,
849706248,792645504,346,59,3480,7107,898,9069,,
849706250,792645504,347,27,3480,7104,891,9075,,
849706252,792645504,348,43,3500,7100,877,9086,,
849706254,792645504,349,11,3500,7097,870,9092,,
849706256,792645504,350,59,3520,7095,863,9098,,
849706258,792645504,351,27,3520,7093,856,9104,,
849706260,792645504,352,43,3540,7090,849,9109,,
849706262,792645504,353,11,3540,7088,842,9115,,
849706264,792645504,354,59,3560,7086,835,9120,,
849706266,792645504,355,27,3560,7083,828,9126,,
849706268,792645504,356,43,3580,7081,820,9131,,
849706270,792645504,357,11,3580,7079,813,9136,,
849706272,792645504,358,59,3600,7076,806,9142,,
849706274,792645504,359,27,3600,7074,799,9147,,
849706276,792645504,360,43,3620,7072,791,9152,,
849706278,792645504,361,11,3620,7069,784,9157,,
849706284,792645504,364,43,3660,7062,762,9173,,
849706286,792645504,365,11,3660,7060,755,9178,,
849706288,792645504,366,59,3680,7058,747,9183,,
849706290,792645504,367,27,3680,7055,740,9188,,
849706292,792645504,368,43,3700,7053,733,9193,,
849706294,792645504,369,11,3700,7051,725,9198,,
849706296,792645504,370,59,3720,7049,718,9203,,
849706298,792645504,371,27,3720,7046,711,9208,,
849706300,792645504,372,43,3740,7042,696,9218,,
849706302,792645504,373,11,3740,7039,688,9223,,
849706304,792645504,374,59,3760,7037,681,9227,,
849706306,792645504,375,27,3760,7035,674,9232,,
849706308,792645504,376,43,3780,7033,666,9237,,
849706310,792645504,377,11,3780,7030,659,9242,,
849706312,792645504,378,59,3800,7028,652,9247,,
849706316,792645504,380,43,3820,7024,637,9256,,
849706318,792645504,381,11,3820,7021,629,9261,,
849706322,792645504,383,27,3840,7017,615,9271,,
849706794,792645501,0,43,20,7936,3886,8049,549,TH
849706796,792645501,1,11,20,7936,3878,8054,549,TH
849706798,792645501,2,59,40,7936,3870,8058,549,TH
849706800,792645501,3,27,40,7937,3862,8062,549,TH
849706802,792645501,4,43,60,7937,3854,8067,549,TH
849706804,792645501,5,11,60,7937,3846,8071,549,TH
849706806,792645501,6,59,80,7938,3838,8075,549,TH
849706808,792645501,7,27,80,7938,3830,8079,549,TH
849706810,792645501,8,43,100,7938,3823,8084,549,TH
849706812,792645501,9,11,100,7939,3815,8088,549,TH
849706814,792645501,10,59,120,7939,3807,8092,170,LGd
849706816,792645501,11,27,120,7940,3799,8096,170,LGd
849706818,792645501,12,43,140,7940,3784,8105,170,LGd
849706820,792645501,13,11,140,7941,3776,8109,170,LGd
849706822,792645501,14,59,160,7941,3768,8113,170,LGd
849706824,792645501,15,27,160,7942,3761,8117,170,LGd
849706826,792645501,16,43,180,7942,3753,8121,170,LGd
849706828,792645501,17,11,180,7943,3746,8126,170,LGd
849706830,792645501,18,59,200,7943,3738,8130,170,LGd
849706832,792645501,19,27,200,7943,3730,8134,170,LGd
849706834,792645501,20,43,220,7944,3723,8138,170,LGd
849706836,792645501,21,11,220,7944,3715,8142,170,LGd
849706838,792645501,22,59,240,7945,3708,8146,170,LGd
849706840,792645501,23,27,240,7945,3700,8150,170,LGd
849706842,792645501,24,43,260,7946,3693,8154,170,LGd
849706844,792645501,25,11,260,7946,3685,8158,170,LGd
849706846,792645501,26,59,280,7947,3678,8162,170,LGd
849706848,792645501,27,27,280,7947,3671,8166,170,LGd
849706850,792645501,28,43,300,7948,3663,8170,170,LGd
849706852,792645501,29,11,300,7948,3656,8174,170,LGd
849706854,792645501,30,59,320,7949,3649,8178,170,LGd
849706856,792645501,31,27,320,7949,3641,8182,170,LGd
849706858,792645501,32,43,340,7950,3634,8186,170,LGd
849706860,792645501,33,11,340,7951,3627,8190,170,LGd
849706862,792645501,34,59,360,7951,3619,8194,170,LGd
849706864,792645501,35,27,360,7952,3612,8198,170,LGd
849706868,792645501,37,11,380,7954,3590,8210,170,LGd
849706870,792645501,38,59,400,7954,3583,8214,170,LGd
849706872,792645501,39,27,400,7955,3576,8218,170,LGd
849706874,792645501,40,43,420,7955,3569,8222,170,LGd
849706876,792645501,41,11,420,7956,3561,8226,170,LGd
849706878,792645501,42,59,440,7957,3554,8229,170,LGd
849706880,792645501,43,27,440,7957,3547,8233,170,LGd
849706882,792645501,44,43,460,7958,3540,8237,170,LGd
849706884,792645501,45,11,460,7959,3532,8241,170,LGd
849706886,792645501,46,59,480,7959,3525,8245,170,LGd
849706888,792645501,47,27,480,7960,3518,8248,170,LGd
849706890,792645501,48,43,500,7961,3511,8252,170,LGd
849706892,792645501,49,11,500,7961,3504,8256,170,LGd
849706894,792645501,50,59,520,7962,3496,8260,170,LGd
849706896,792645501,51,27,520,7963,3489,8264,170,LGd
849706898,792645501,52,43,540,7964,3482,8267,170,LGd
849706900,792645501,53,11,540,7964,3474,8271,170,LGd
849706902,792645501,54,59,560,7965,3467,8275,170,LGd
849706904,792645501,55,27,560,7966,3460,8278,170,LGd
849706906,792645501,56,43,580,7967,3453,8282,170,LGd
849706908,792645501,57,11,580,7967,3445,8286,170,LGd
849706910,792645501,58,59,600,7968,3438,8289,170,LGd
849706912,792645501,59,27,600,7969,3430,8293,170,LGd
849706914,792645501,60,43,620,7970,3415,8300,170,LGd
849706916,792645501,61,11,620,7971,3408,8304,170,LGd
849706918,792645501,62,59,640,7972,3400,8307,170,LGd
849706920,792645501,63,27,640,7973,3393,8311,170,LGd
849706922,792645501,64,43,660,7973,3385,8314,170,LGd
849706924,792645501,65,11,660,7974,3378,8318,170,LGd
849706926,792645501,66,59,680,7975,3370,8322,170,LGd
849706928,792645501,67,27,680,7976,3362,8325,170,LGd
849706930,792645501,68,43,700,7976,3354,8329,170,LGd
849706932,792645501,69,11,700,7977,3347,8332,170,LGd
849706934,792645501,70,59,720,7978,3339,8335,170,LGd
849706936,792645501,71,27,720,7980,3323,8342,170,LGd
849706938,792645501,72,43,740,7980,3315,8346,170,LGd
849706940,792645501,73,11,740,7981,3307,8349,170,LGd
849706942,792645501,74,59,760,7982,3299,8353,463,CA3
849706946,792645501,76,43,780,7984,3283,8359,463,CA3
849706948,792645501,77,11,780,7985,3267,8366,463,CA3
849706950,792645501,78,59,800,7986,3259,8370,463,CA3
849706952,792645501,79,27,800,7987,3251,8373,463,CA3
849706954,792645501,80,43,820,7988,3242,8376,463,CA3
849706956,792645501,81,11,820,7989,3234,8380,463,CA3
849706958,792645501,82,59,840,7989,3226,8383,463,CA3
849706960,792645501,83,27,840,7990,3218,8386,463,CA3
849706962,792645501,84,43,860,7992,3201,8393,463,CA3
849706964,792645501,85,11,860,7993,3193,8396,463,CA3
849706966,792645501,86,59,880,7994,3184,8399,463,CA3
849706968,792645501,87,27,880,7994,3176,8403,463,CA3
849706970,792645501,88,43,900,7995,3168,8406,463,CA3
849706972,792645501,89,11,900,7996,3159,8409,463,CA3
849706974,792645501,90,59,920,7998,3143,8416,463,CA3
849706976,792645501,91,27,920,7999,3134,8419,463,CA3
849706978,792645501,92,43,940,7999,3126,8422,463,CA3
849706980,792645501,93,11,940,8000,3118,8426,463,CA3
849706982,792645501,94,59,960,8001,3109,8429,463,CA3
849706984,792645501,95,27,960,8002,3101,8432,463,CA3
849706986,792645501,96,43,980,8004,3084,8439,463,CA3
849706988,792645501,97,11,980,8005,3076,8442,463,CA3
849706990,792645501,98,59,1000,8005,3068,8445,463,CA3
849706992,792645501,99,27,1000,8006,3060,8449,463,CA3
849706994,792645501,100,43,1020,8007,3051,8452,463,CA3
849706996,792645501,101,11,1020,8008,3043,8455,463,CA3
849706998,792645501,102,59,1040,8010,3027,8462,463,CA3
849707000,792645501,103,27,1040,8010,3019,8465,463,CA3
849707002,792645501,104,43,1060,8011,3010,8468,463,CA3
849707006,792645501,106,59,1080,8013,2994,8475,463,CA3
849707008,792645501,107,27,1080,8014,2986,8479,463,CA3
849707010,792645501,108,43,1100,8015,2970,8485,463,CA3
849707012,792645501,109,11,1100,8016,2962,8489,463,CA3
849707014,792645501,110,59,1120,8017,2954,8492,463,CA3
849707016,792645501,111,27,1120,8017,2946,8496,463,CA3
849707020,792645501,113,11,1140,8019,2931,8503,463,CA3
849707022,792645501,114,59,1160,8020,2915,8510,726,DG
849707024,792645501,115,27,1160,8021,2907,8513,726,DG
849707026,792645501,116,43,1180,8022,2900,8517,726,DG
849707028,792645501,117,11,1180,8022,2892,8521,726,DG
849707030,792645501,118,59,1200,8023,2885,8524,726,DG
849707032,792645501,119,27,1200,8023,2877,8528,726,DG
849707034,792645501,120,43,1220,8025,2862,8535,726,DG
849707036,792645501,121,11,1220,8025,2855,8539,726,DG
