id,date_of_acquisition,isi_experiment_id,published_at,specimen_id,session_type,age_in_days,sex,genotype,has_nwb
757970808,2018-10-26T19:58:48Z,741189806,2019-10-03T00:00:00Z,730756780,brain_observatory_1.1,106.0,M,wt/wt,True
758798717,2018-10-31T17:39:23Z,743179082,2019-10-03T00:00:00Z,735109609,brain_observatory_1.1,102.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
759883607,2018-10-26T19:55:45Z,745833491,2019-10-03T00:00:00Z,740268986,brain_observatory_1.1,113.0,M,wt/wt,True
760345702,2019-01-19T08:36:58Z,749940459,2019-10-03T00:00:00Z,739783171,brain_observatory_1.1,103.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
760693773,2018-10-26T19:59:23Z,745470852,2019-10-03T00:00:00Z,738651054,brain_observatory_1.1,110.0,F,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
761418226,2018-10-26T07:48:22Z,752495922,2019-10-03T00:00:00Z,742714475,brain_observatory_1.1,119.0,M,wt/wt,True
762120172,2018-10-26T07:38:26Z,754837922,2019-10-03T00:00:00Z,745276236,brain_observatory_1.1,100.0,M,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
762602078,2018-10-26T07:58:47Z,755473561,2019-10-03T00:00:00Z,744915204,brain_observatory_1.1,110.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
763673393,2018-12-06T20:48:16Z,756042173,2019-10-03T00:00:00Z,742602892,brain_observatory_1.1,126.0,M,wt/wt,True
766640955,2019-01-02T23:45:39Z,754116320,2019-10-03T00:00:00Z,744912849,functional_connectivity,133.0,M,wt/wt,True
767871931,2019-01-02T23:20:27Z,760659575,2019-10-03T00:00:00Z,753795610,functional_connectivity,135.0,M,wt/wt,True
768515987,2018-11-05T20:25:12Z,759851495,2019-10-03T00:00:00Z,754477358,functional_connectivity,136.0,M,wt/wt,True
771160300,2018-11-05T21:14:59Z,761141617,2019-10-03T00:00:00Z,754488979,functional_connectivity,142.0,M,wt/wt,True
771990200,2018-11-05T21:54:07Z,761796543,2019-10-03T00:00:00Z,756578435,functional_connectivity,108.0,M,wt/wt,True
773418906,2018-12-10T23:16:20Z,762398689,2019-10-03T00:00:00Z,757329624,brain_observatory_1.1,124.0,F,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
774875821,2018-12-10T21:22:20Z,764283498,2019-10-03T00:00:00Z,759711152,functional_connectivity,114.0,M,wt/wt,True
778240327,2018-12-10T21:22:20Z,768253037,2019-10-03T00:00:00Z,760938797,functional_connectivity,120.0,M,wt/wt,True
778998620,2018-12-10T21:57:24Z,763718472,2019-10-03T00:00:00Z,759674770,functional_connectivity,121.0,M,wt/wt,True
779839471,2018-12-10T22:45:43Z,766594733,2019-10-03T00:00:00Z,760960653,functional_connectivity,122.0,M,wt/wt,True
781842082,2018-12-10T20:59:21Z,768401701,2019-10-03T00:00:00Z,760946813,functional_connectivity,126.0,M,wt/wt,True
786091066,2018-12-10T21:54:46Z,770687432,2019-10-03T00:00:00Z,763884103,functional_connectivity,111.0,F,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
787025148,2018-12-10T20:49:32Z,769729112,2019-10-03T00:00:00Z,763236014,functional_connectivity,114.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
789848216,2019-01-08T21:51:35Z,773079570,2019-10-03T00:00:00Z,763808604,functional_connectivity,119.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
791319847,2019-01-08T21:55:01Z,779428997,2019-10-03T00:00:00Z,769360779,brain_observatory_1.1,116.0,M,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
793224716,2019-01-08T20:34:14Z,777305837,2019-10-03T00:00:00Z,769319624,functional_connectivity,120.0,M,wt/wt,True
794812542,2019-01-19T09:14:56Z,783108703,2019-10-03T00:00:00Z,774672366,functional_connectivity,120.0,F,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
797828357,2019-01-08T21:26:13Z,787643635,2019-10-03T00:00:00Z,776061251,brain_observatory_1.1,107.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
798911424,2018-12-21T08:02:57Z,785726931,2019-10-03T00:00:00Z,775876828,brain_observatory_1.1,110.0,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
799864342,2019-01-08T21:26:07Z,785352181,2019-10-03T00:00:00Z,772616823,brain_observatory_1.1,129.0,M,wt/wt,True
816200189,2019-02-01T22:58:03Z,803035425,2019-10-03T00:00:00Z,791857608,functional_connectivity,128.0,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
819186360,2019-02-08T09:02:25Z,809373390,2019-10-03T00:00:00Z,800249587,functional_connectivity,128.0,F,wt/wt,True
819701982,2019-02-08T13:38:23Z,809374181,2019-10-03T00:00:00Z,795770036,functional_connectivity,135.0,F,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
821695405,2019-02-14T09:55:24Z,809322463,2019-10-03T00:00:00Z,800250057,functional_connectivity,134.0,F,wt/wt,True
829720705,2019-03-05T08:59:34Z,819078093,2019-10-03T00:00:00Z,811322619,functional_connectivity,112.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
831882777,2019-03-06T09:04:43Z,815155511,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
835479236,2019-03-11T20:46:56Z,822365853,2019-10-03T00:00:00Z,813701562,functional_connectivity,121.0,M,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
839068429,2019-03-19T19:48:05Z,826816430,2019-10-03T00:00:00Z,817060751,functional_connectivity,129.0,F,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
839557629,2019-03-21T11:20:58Z,830519422,2019-10-03T00:00:00Z,821469666,functional_connectivity,115.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
840012044,2019-03-21T23:34:26Z,830518709,2019-10-03T00:00:00Z,820866121,functional_connectivity,116.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True
847657808,2019-04-08T19:30:50Z,836962226,2019-10-03T00:00:00Z,827809884,functional_connectivity,126.0,F,wt/wt,True
