gid spike-times
50 109.851843131,113.330588381,283.718484907,293.274990648,340.79034678,354.523770468,374.235308507,472.169766784,709.651221796,827.347143316,843.344308859,1019.31878023,1044.0897799,1225.03657985,1408.94364513,1461.16407301,1520.95891023,1710.20699408,1845.44077047,1939.36476928,2114.35890534,2257.09419448,2388.57175995,2466.73195733,2645.84696777,2812.6025023,2945.93282715
51 76.2310493806,245.607964913,260.491392502,285.910000422,373.019269001,599.888452069,760.511905639,841.362159247,907.430884842,959.624858382,1086.32780225,1266.22064936,1402.24037494,1478.01000016,1599.61412474,1610.59116666,1695.73888324,1765.44293323,1845.27883845,2055.039418,2229.56026839,2302.68836745,2343.80703597,2431.95417965,2448.68134241,2549.85772481,2682.82914588,2764.17260223,2786.5515958,2855.06427037
52 20.0762032858,169.197319322,218.020020226,308.434788707,437.992409126,446.86886376,598.994716956,701.931338957,794.645098946,968.855183669,1083.47988089,1198.85093005,1298.02886475,1325.98313768,1519.47557177,1667.99360337,1816.23608644,1821.54351427,1961.37452555,2039.58045113,2197.49977042,2286.88498439,2293.21918502,2306.6181628,2352.28449469,2370.0060463,2396.49535419,2453.25327517,2593.88571024,2723.3117386,2848.69151192,2948.44348569
53 26.0307518989,115.377318896,294.419040146,455.650334158,533.6163913,599.324518764,713.990790868,905.652443224,1086.34177834,1323.12557528,1372.37679749,1509.70985465,1639.80633845,1654.06474588,1700.50831307,1707.60482109,1807.21817017,1925.53687587,1998.93718994,2053.31437778,2068.16177545,2183.11171475,2325.92935788,2338.45333262,2408.04339474,2508.52397818,2716.06681004,2832.91440364,2974.33058172
54 94.8396185887,168.786444731,232.221071915,299.395620053,451.35639624,465.663732681,603.344791518,689.108720167,718.384718527,719.53223282,749.245428165,828.059591257,841.408334146,854.780726045,993.01496049,997.778411668,1129.67420989,1281.50880331,1292.88847794,1306.07889964,1425.64226626,1488.15736961,1566.84654971,1597.52081035,1738.62909608,1851.290596,1869.68537234,2025.0628359,2245.00772674,2375.03820391,2608.75427608,2715.24787678,2828.89451757,2915.88813909,2958.97022091
55 52.5396136265,98.995486523,287.119538717,325.133556365,397.387313012,514.365070412,651.952310168,705.140284823,852.548332949,940.294739389,1030.10869414,1101.22043129,1181.97969129,1267.54046154,1353.23731201,1369.37431111,1568.52036016,1661.13869487,1714.57282441,1798.08586307,1898.5399851,1899.45000645,1931.70252892,2021.79105822,2163.02045108,2249.9301313,2438.75298894,2621.24176469,2761.09002433,2946.51779203
56 54.7153009121,150.698595958,175.830364358,305.123814755,521.340995431,668.049265177,890.515082669,1050.14899721,1219.58333168,1325.18526909,1495.09440794,1573.33124342,1657.1201906,1717.37541658,1758.57558567,1888.03538331,2007.84498459,2159.56764811,2211.91136706,2229.90957821,2280.19508614,2292.60438835,2355.34730568,2538.58287021,2546.58437167,2635.6069205,2693.91233192,2768.654985,2897.0164108,2984.05989598,2989.48105862
57 216.748546822,316.152771933,323.432992961,350.052182343,421.697383626,455.206663287,518.728452028,665.119264613,761.532076331,791.219594337,938.283899659,1025.44202188,1107.46210521,1108.7510247,1162.97118889,1268.98745976,1447.62456357,1607.90771538,1716.59736472,1873.60592056,1889.7180858,2055.94385574,2062.77799998,2129.75483101,2168.65079082,2207.55095911,2428.1359481,2449.50194338,2484.64013035,2553.94791078,2652.38656695,2688.59182511,2942.87113199
58 71.4345273652,136.411892058,190.029281947,285.344344334,440.984559752,605.563915093,655.255736817,895.128897943,989.490598376,1134.31018152,1301.09356743,1343.24519599,1395.7185034,1628.97271537,1711.27103617,1735.38024414,1810.337355,1968.47373223,2018.82723243,2143.46781615,2319.75643219,2383.84354982,2432.20157478,2616.57882665,2633.37544143,2768.19302301,2919.98003103
59 134.754471462,192.035435131,278.214442055,436.302089608,596.035944505,837.644587127,985.469919965,1012.50758898,1153.1966829,1243.5446976,1284.46200669,1396.31446077,1491.47287757,1569.8746788,1656.54289982,1763.68013207,1779.57564472,1858.29725509,2036.51023645,2097.93474714,2292.33524968,2295.00433358,2378.85550926,2578.00395178,2747.04968869,2825.76012254
60 34.7188783505,179.704300815,309.592982941,468.784556879,497.437394203,725.793585603,813.924231162,818.8723124,984.478990285,1061.58715403,1181.58422755,1192.11530309,1379.37776089,1585.7601324,1683.60652528,1690.2178832,1844.25598963,1944.94618235,2128.97826754,2161.64802535,2179.86985412,2212.38169637,2348.07940535,2475.37069805,2579.79365186,2718.225457,2978.98302359
61 103.635678227,122.128670194,303.444282145,425.440178168,463.521567695,628.277795378,640.85742068,790.548053488,956.257093429,1011.96363669,1107.8303302,1125.61434707,1308.47000388,1525.49230533,1596.10443096,1631.38548685,1661.62741039,1706.97417396,1751.08533512,1828.8944879,1901.7865367,1990.93281334,2167.18048683,2232.60423302,2338.9950069,2381.11238428,2464.61235954,2601.33021752,2669.61424646,2846.73789244
62 68.6541227093,134.219515698,288.060219668,369.902853645,569.455908286,754.444154981,756.408611023,938.098574934,938.886437487,1027.53791033,1126.92320193,1151.19475948,1247.37938013,1293.63319591,1493.73574332,1641.67354792,1754.19117743,1855.84417353,2072.64896741,2155.48400579,2354.52922092,2496.80460368,2598.98858888,2609.24678197,2765.65246035,2802.77225377,2869.91593446
63 111.91507366,270.055918973,322.613087526,393.695226189,441.698729999,632.212075152,698.531557055,886.512362949,1001.93291942,1029.41015779,1205.92796044,1348.30059152,1424.51896235,1525.72945928,1599.6304855,1748.19895013,1756.92571454,1889.87222017,2019.7700749,2191.74098276,2323.02523056,2511.43597052,2638.50162393,2707.04369804,2801.15598353,2803.61162553,2836.07639527,2890.1571939,2942.72319895
64 78.6410605271,273.835924297,386.924113059,476.644981419,549.581596707,582.349642836,665.094099222,749.625999618,779.809962582,939.118580735,953.475084593,1001.56120865,1116.32356184,1190.31967759,1293.63950126,1360.79805569,1370.76664215,1428.13504308,1482.26004878,1525.38637113,1529.46981601,1663.64749744,1798.41967394,1868.1262517,2003.69662461,2012.23286714,2071.1287982,2233.99648116,2343.43708308,2485.67366266,2611.52216371,2712.67588685,2768.79953544,2922.83718923,2948.48648844,2967.63542468
65 7.26804741593,209.088792477,218.785242313,315.670614926,474.592865752,696.73989557,844.44663431,1039.93459583,1172.80802252,1239.19388677,1415.99607592,1555.41468036,1599.13910039,1691.78288351,1860.70547744,1900.3067198,1948.17330646,2031.93049807,2151.39330115,2272.52989336,2280.5841336,2392.9740298,2553.76783789,2688.84690936,2888.79509784,2946.67167663
66 84.7830256131,124.788764896,164.928432046,192.264944512,385.584719119,455.298043175,584.453161486,706.89701462,735.90969295,960.384958149,1028.14361527,1044.2430295,1085.02036422,1301.17267343,1415.43149739,1523.32579781,1710.88791153,1806.4079988,1925.62281286,2066.45773365,2067.83478675,2203.00681934,2280.96566156,2328.50933698,2444.40986862,2520.47424885,2598.88253709,2693.75630488,2848.03457839,2854.52892594,2929.41698529
67 240.743120564,285.707930593,452.146617101,646.763585122,777.028861877,913.602512784,1059.8036298,1085.58151369,1230.62299821,1382.54517076,1515.33829546,1646.41897836,1822.53705942,1843.99503065,2031.35983425,2053.71532976,2073.70806524,2371.27715451,2630.3193714,2764.71704856,2848.31576618,2902.55129221,2939.22212877
68 134.139022048,206.635372839,247.326774684,413.683544305,438.461319403,472.697077929,565.125015008,793.053189567,963.788359971,1095.02883792,1191.24292089,1366.28673326,1409.80762667,1600.05395894,1623.97730886,1662.25749752,1695.49948273,1883.40807307,2033.43795509,2117.5894135,2239.79310669,2272.7604705,2276.73298484,2391.28506748,2394.50827904,2514.06347874,2624.50374217,2782.18533909,2998.09996443
69 148.671433002,199.421218085,386.451745022,491.802970542,566.786215161,698.609994978,726.079231798,853.041130428,1092.55577499,1281.74424591,1350.05267793,1551.34626559,1603.75075876,1636.69059113,1773.00922846,1785.43639673,1847.83915947,1851.52947557,1916.52142422,1930.564462,2206.71252839,2275.3709793,2466.22879242,2543.09756325,2743.30465997,2750.24354491,2760.95865108,2771.80320956,2928.71290267,2987.40320152
