channel x_pos y_pos z_pos
122 -40.0 -720.0 10.0
123 -40.0 -740.0 10.0
124 -40.0 -760.0 10.0
125 -40.0 -780.0 10.0
126 -40.0 -800.0 10.0
127 -40.0 -820.0 10.0
128 -40.0 -840.0 10.0
129 -20.0 0.0 10.0
130 -20.0 -20.0 10.0
131 -20.0 -40.0 10.0
132 -20.0 -60.0 10.0
133 -20.0 -80.0 10.0
134 -20.0 -100.0 10.0
135 -20.0 -120.0 10.0
136 -20.0 -140.0 10.0
137 -20.0 -160.0 10.0
138 -20.0 -180.0 10.0
139 -20.0 -200.0 10.0
140 -20.0 -220.0 10.0
141 -20.0 -240.0 10.0
142 -20.0 -260.0 10.0
143 -20.0 -280.0 10.0
144 -20.0 -300.0 10.0
145 -20.0 -320.0 10.0
146 -20.0 -340.0 10.0
147 -20.0 -360.0 10.0
148 -20.0 -380.0 10.0
149 -20.0 -400.0 10.0
150 -20.0 -420.0 10.0
151 -20.0 -440.0 10.0
152 -20.0 -460.0 10.0
153 -20.0 -480.0 10.0
154 -20.0 -500.0 10.0
155 -20.0 -520.0 10.0
156 -20.0 -540.0 10.0
157 -20.0 -560.0 10.0
158 -20.0 -580.0 10.0
159 -20.0 -600.0 10.0
160 -20.0 -620.0 10.0
161 -20.0 -640.0 10.0
162 -20.0 -660.0 10.0
163 -20.0 -680.0 10.0
164 -20.0 -700.0 10.0
165 -20.0 -720.0 10.0
166 -20.0 -740.0 10.0
167 -20.0 -760.0 10.0
168 -20.0 -780.0 10.0
169 -20.0 -800.0 10.0
170 -20.0 -820.0 10.0
171 -20.0 -840.0 10.0
172 0.0 0.0 10.0
173 0.0 -20.0 10.0
174 0.0 -40.0 10.0
175 0.0 -60.0 10.0
176 0.0 -80.0 10.0
177 0.0 -100.0 10.0
178 0.0 -120.0 10.0
179 0.0 -140.0 10.0
180 0.0 -160.0 10.0
181 0.0 -180.0 10.0
182 0.0 -200.0 10.0
183 0.0 -220.0 10.0
184 0.0 -240.0 10.0
185 0.0 -260.0 10.0
186 0.0 -280.0 10.0
187 0.0 -300.0 10.0
188 0.0 -320.0 10.0
189 0.0 -340.0 10.0
190 0.0 -360.0 10.0
191 0.0 -380.0 10.0
192 0.0 -400.0 10.0
193 0.0 -420.0 10.0
194 0.0 -440.0 10.0
195 0.0 -460.0 10.0
196 0.0 -480.0 10.0
197 0.0 -500.0 10.0
198 0.0 -520.0 10.0
199 0.0 -540.0 10.0
200 0.0 -560.0 10.0
201 0.0 -580.0 10.0
202 0.0 -600.0 10.0
203 0.0 -620.0 10.0
204 0.0 -640.0 10.0
205 0.0 -660.0 10.0
206 0.0 -680.0 10.0
207 0.0 -700.0 10.0
208 0.0 -720.0 10.0
209 0.0 -740.0 10.0
210 0.0 -760.0 10.0
211 0.0 -780.0 10.0
212 0.0 -800.0 10.0
213 0.0 -820.0 10.0
214 0.0 -840.0 10.0
